ಎಲಿಜಬೆತ್	Elizabeth
ಸಮಾನಶಕ್ತಿ	samaanashakti
ಕೊಟ್ಟಿರುತ್ತಾನೆ	kottiruttaane
ಹಾಗೂ	haagoo
ಸ್ತ್ರೀ	stree
ಪುರುಷನಿಗಿಂತ	purushaniginta
ಸಮರ್ಥವಾಗಿ	samarthavaagi
ಆಳ್ವಿಕೆ	aalvike
ಮಾಡಬಲ್ಲಳು	maadaballalu
ಎಂದು	endu
ಪ್ರಥ್ಯುತ್ಥರಿಸಿತು.	prathyuttharisitu.
</s>	</s>
ನೈಲ್‌	Nail
ನದಿಯ	nadiya
ತೀರದಲ್ಲಿ	teeradalli
ಬೆಳೆಸುತ್ತಿದ್ದ	belesuttidda
ಪಪೈರಸ್‌ಗಳನ್ನು	Papyrusgalannu
ಕಾಗದ	kaagada
ತಯಾರಿಕೆಗೆ	tayaarikege
ಉಪಯೋಗಿಸಲಾಗುತ್ತಿತ್ತು.	upayogisalaaguttittu.
</s>	</s>
೨೦೧೫	2015
ರಲ್ಲಿ,	ralli,
ಭಾರ್ಗವರಿಗೆ	Bhargavarige
ಭಾರತದ	bhaaratada
ಮೂರನೇ	moorane
ಅತ್ಯುನ್ನತ	atyunnata
ನಾಗರಿಕ	naagarika
ಪ್ರಶಸ್ತಿಯಾದ	prashastiyaada
"ಪದ್ಮಭೂಷಣ"	"padmabhooshana"
ನೀಡಲಾಯಿತು.	needalaayitu.
</s>	</s>
ಇವರ	Ivara
ತಂದೆ	tande
ಇವರ	ivara
ಕ್ರಿಕೆಟ್	Cricket
ಜೀವನಕ್ಕೆ	jeevanakke
ಸದಾ	sadaa
ಸಾಥ್	saath
ಕೊಟ್ಟಿದ್ದಾರೆ.	kottiddaare.
</s>	</s>
ಪೌರಾಣಿಕ	Pauraanika
ಕಥೆಗಳ	kathegala
ಆಧಾರದ	aadhaarada
ಮೇಲೆ	mele
ಕಟ್ಟಿದ	kattida
ಇತರ	itara
ನಾಟಕಗಳು	naatakagalu
ಬಯಲು	bayalu
ನಾಟಕಗಳೆಂದು	naatakagalendu
ಪ್ರಸಿದ್ದವಾಗಿವೆ.	prasiddavaagive.
</s>	</s>
ಆದರೆ	Aadare
೧೭೨೦ರ	1720ra
ದಶಕದಿಂದೀಚೆಗೆ(ಕೆಲವು	dashakadindeechege(kelavu
ಬಾರಿ	baari
ಅದಕ್ಕಿಂತ	adakkinta
ಮುಂಚೆ)ರಸ್ತೆಸುಂಕಗಳನ್ನು	munche)rastesunkagalannu
ವಿಧಿಸಿದ	vidhisida
ರಸ್ತೆಗಳನ್ನು	rastegalannu
ನಿರ್ವಹಿಸುವುದಕ್ಕಾಗಿ	nirvahisuvudakkaagi
ಮತ್ತು	mattu
ಸುಂಕ	sunka
ವಸೂಲಿಗಾಗಿ	vasooligaagi
ಸುಂಕದ	sunkada
ವ್ಯವಸ್ಥೆಯ	vyavastheya
ಟ್ರಸ್ಟ್‌ಗಳನ್ನು	trustgalannu
ಸ್ಥಾಪಿಸಲಾಯಿತು.	sthaapisalaayitu.
</s>	</s>
ಕುಶ	Kusha
ಪರ್ಯಾಯ	paryaaya
ನಾಮ.	naama.
</s>	</s>
ಮಾರನೆಯ	Maaraneya
ವರ್ಷ,	varsha,
ಆಗ	aaga
ತಾನೇ	taane
ಸ್ಥಾಪಿತವಾಗಿದ್ದ	sthaapitavaagidda
ಇಂಗ್ಲಿಷ್	English
ರಿವ್ಯೂ	Review
ಎಂಬ	enba
ಪತ್ರಿಕೆಯ	patrikeya
ಉಪಸಂಪಾದಕನಾದ.	upasampaadakanaada.
</s>	</s>
ಆ	Aa
ಸಮಯದಲ್ಲಿ	samayadalli
ಜನಸಾಮಾನ್ಯ	janasaamaanya
ಬಳಕೆಯಲ್ಲಿದ್ದ	balakeyallidda
ಕೆಲವೇ	kelave
ಸಂಖ್ಯೆಯ	sankhyeya
ಅಕ್ಷರಗಳು	aksharagalu
"ಕ್ರಿಕೆಟ್"	"Cricket"
ಎಂಬ	enba
ಹೆಸರಿಗೆ	hesarige
ಸಾಧ್ಯತಾ	saadhyataa
ಮೂಲಗಳೆಂದು	moolagalendu
ತಿಳಿಯಲಾಗಿದೆ.	tiliyalaagide.
</s>	</s>
ಸಾದೃಶ್ಯರೂಪ	Saadrushyaroopa
ವಸ್ತುಗಳು	vastugalu
ಹೆಚ್ಚಾಗಿ	hechchaagi
ಯಾವುದೇ	yaavude
ಅವಶ್ಯಕ	avashyaka
ಸಂಬಂಧವನ್ನು	sanbandhavannu
ಹೊಂದಿರುವುದಿಲ್ಲ	hondiruvudilla
ಆದರೆ	aadare
ಒಂದು	ondu
ಸಂಗತಿ,	sangati,
ಮಾದರಿ,	maadari,
ನಿರಂತರತೆ,	nirantarate,
ಲಕ್ಷಣ,	lakshana,
ಪರಿಣಾಮ	parinaama
ಅಥವಾ	athavaa
ಕಾರ್ಯ	kaarya
ಯಾವುದೂ	yaavudoo
ಅವಶ್ಯಕ	avashyaka
ಸಂಬಂಧವನ್ನು	sanbandhavannu
ಹೊಂದಿರುವುದಿಲ್ಲ.	hondiruvudilla.
</s>	</s>
ಇದರಿಂದಾಗಿ	Idarindaagi
ಆ	aa
ದಿನದ	dinada
ಅನೇಕ	aneka
ಸಂಸ್ಥೆಗಳ	sansthegala
ರೀತಿ	reeti
ಕಂಪನಿಯೂ	Companyyoo
ನಾಜಿಗಳಿಗೆ	naajigalige
ಸಹಕರಿಸಿತು	sahakarisitu
ಎಂದು	endu
ಕೆಲವು	kelavu
ಜನರು	janaru
ಭಾವಿಸಿದರು.	bhaavisidaru.
</s>	</s>
ಈ	Ee
ವ್ಯವಸ್ಥೆಯು	vyavastheyu
ಮರಿಗಳಿಗೆ	marigalige
ಸಾಮಾಜಿಕ	saamaajika
ನಡವಳಿಕೆಗಳಲ್ಲಿ	nadavalikegalalli
ಸಾಕಷ್ಟು	saakashtu
ಅನುಭವ	anubhava
ನೀಡುತ್ತದೆ.	needuttade.
</s>	</s>
ದೇಹವು	Dehavu
-	-
ತಲೆ,ಕಾಂಡ	tale,kaanda
ಮತ್ತು	mattu
ಬಾಲ	baala
ಎಂದು	endu
ಪ್ರತ್ಯೇಕಿಸಬಹುದು.	pratyekisabahudu.
</s>	</s>
ಪ್ರತಿ	Prati
ಗಂಟೆಗೆ	gantege
ಬೀಳುವ	beeluva
ಪ್ರಮಾಣಕ್ಕೆ	pramaanakke
ಅನುಗುಣವಾಗಿ	anugunavaagi
ಮಳೆಯನ್ನು	maleyannu
ಕೆಳಕಂಡಂತೆ	kelakandante
ವರ್ಗೀಕರಿಸಬಹುದು.	vargeekarisabahudu.
</s>	</s>
ಫಿಲಿಪ್ಸ್	Philips
ಹಾಂಕಾಂಗ್	HongKong
ಫಿಲಿಪ್ಸ್'	Phillips'
ಆಡಿಯೊ	Audio
ಬಿಸಿನೆಸ್	Business
ಘಟಕದ	ghatakada
ಜಾಗತಿಕ	jaagatika
ಪ್ರಧಾನ	pradhaana
ಕಾರ್ಯಾಲಯಕ್ಕೆ	kaaryaalayakke
ನೆಲೆಯಾಗಿದೆ.	neleyaagide.
</s>	</s>
ಇತರ	Itara
ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ,	vyavasthegalalli,
ಕೇವಲ	kevala
ಒಂದು	ondu
ನಕ್ಷತ್ರದ	nakshatrada
ರೋಹಿತವು	rohitavu
ಕಂಡು	kandu
ಬರುತ್ತದೆ	baruttade
ಹಾಗು	haagu
ರೋಹಿತದಲ್ಲಿನ	rohitadallina
ರೇಖೆಗಳು	rekhegalu
ಕಾಲಕಾಲಕ್ಕೆ	kaalakaalakke
ನೀಲಿ	neeli
ಬಣ್ಣದೆಡೆಗೆ,	bannadedege,
ನಂತರ	nantara
ಕೆಂಪು	kenpu
ಬಣ್ಣದೆಡೆಗೆ	bannadedege
ತಿರುಗುತ್ತವೆ.	tiruguttave.
</s>	</s>
ವಿಷ್ಣು	Vishnu
ವರಾಹವತಾರ	varaahavataara
ತಾಳಿ	taali
ಕಂಭದ	kanbhada
ತಳವನ್ನು	talavannu
ನೋಡುವುದಕ್ಕಾಗಿ	noduvudakkaagi
ಪಾತಾಳಕ್ಕೆ	paataalakke
ಇಳಿಯುತ್ತಾನೆ.	iliyuttaane.
</s>	</s>
ಅವರು	Avaru
ತನ್ನ	tanna
ಚಿಕ್ಕಮ್ಮ	chikkamma
ಕೊಟ್ಟಿದ್ದ	kottidda
ಮೂರು	mooru
ಸಾವಿರ	saavira
ಪೌಂಡನ್ನು	Poundnnu
ತನ್ನ	tanna
ಜೊತೆ	jote
ತಂದಿದ್ದರು.	tamdiddaru.
</s>	</s>
ಈ	Ee
ಗುಡಿಗಳಲ್ಲಿ	gudigalalli
ಇವುಗಳ	ivugala
ಮುಖವಾಡಗಳನ್ನು	mukhavaadagalannu
ಇಟ್ಟಿರುತ್ತಾರೆ.	ittiruttaare.
</s>	</s>
ಕಣ್ಣೂರ್	Kannur
ಸಿಟಿ	City
ಸೆಂಟರ್	Center
</s>	</s>
ವಾಚಕವೃಂದವು	Vaachakavrundavu
ಸಾರ್ವಜನಿಕ	saarvajanika
ಅಥವಾ	athavaa
ಖಾಸಗಿ,	khaasagi,
ಒಬ್ಬ	obba
ವ್ಯಕ್ತಿ	vyakti
ಅಥವಾ	athavaa
ಒಟ್ಟಾರೆ	ottaare
ಜನತೆಯಾಗಿರಬಹುದು.	janateyaagirabahudu.
</s>	</s>
ಹ್ಯಾಮ್ಲೆಟ್	Hamlet
-	-
ದಿವಂಗತ	divangata
ರಾಜನ	raajana
ಮಗ	maga
ಮತ್ತು	mattu
ಇಂದಿನ	indina
ರಾಜ	raaja
ಕ್ಲಾಡಿಯಸ್ನ	Claudiusna
ಸೋದರಳಿಯ.	sodaraliya.
</s>	</s>
ಭಾರತದ	Bhaaratada
ಎರಡನೇ	eradane
ದೊಡ್ಡ	dodda
ಬಂದರು.	bandaru.
</s>	</s>
ವಿಮೋಚಕಿಯ	Vimochakiya
ಕನಸುಗಳು	kanasugalu
-	-
ಇಂಗ್ಲೀಷ್	English
ಮೂಲ:	moola:
ಬ್ರಜ್	Braj
ರಂಜನ್	Ranjan
ಮಣಿ	Mani
ಪಮೇಲ	Pamela
ಸರ್ದಾರ್,	Sardar,,
ಕನ್ನಡಕ್ಕೆ	kannadakke
:	:
ಬಿ.ಶ್ರೀಪಾದ್	B.Sripad
ಭಟ್	Bhat
</s>	</s>
ಇರುವ	Iruva
ಶಬ್ದದೊಂದಿಗೆ	shabdadondige
ಸಾದೃಶ್ಯದಿಂದ	saadrushyadinda
ಹೊಸ	hosa
ಶಬ್ಧಗಳು	shabdhagalu
ಕೂಡ	kooda
ರೂಪುಗೊಳ್ಳಬಹುದು.	roopugollabahudu.
</s>	</s>
ಅಮೇರಿಕ	America
ಮತ್ತು	mattu
ಯುನೈಟಡ್	United
ಕಿಂಗ್ಡಮ್‍ನಲ್ಲಿ,	Kingdomnalli,
ಚಿಕಿತ್ಸಕ	chikitsaka
ದಾದಿ	daadi
ತಜ್ಞೆಯರು	tajneyaru
ಮತ್ತು	mattu
ದಾದಿ	daadi
ವೃತ್ತಿಗರಂತಹ	vruttigarantaha
ಉನ್ನತ	unnata
ಅಭ್ಯಾಸದ	abhyaasada
ದಾದಿಯರು,	daadiyaru,
ಪ್ರತ್ಯೇಕ	pratyeka
ರಾಜ್ಯ	raajya
ನಿಯಂತ್ರಣಗಳನ್ನು	niyantranagalannu
ಆಧರಿಸಿ	aadharisi
ಆರೋಗ್ಯ	aarogya
ಸಮಸ್ಯೆಗಳನ್ನು	samasyegalannu
ನಿದಾನ	nidaana
ಮಾಡುತ್ತಾರೆ	maaduttaare
ಮತ್ತು	mattu
ಔಷಧಿಗಳು	aushadhigalu
ಹಾಗೂ	haagoo
ಇತರ	itara
ಚಿಕಿತ್ಸೆಗಳನ್ನು	chikitsegalannu
ವಿಧಿಸುತ್ತಾರೆ.	vidhisuttaare.
</s>	</s>
ವ್ಯಾಲ್ಲೋನಿಯ	Wallonia
ಯುರೋಪ್	Europe
ಖಂಡದಲ್ಲಿ	khandadalli
ಕೈಗಾರಿಕಾ	kaigaarikaa
ಕ್ರಾಂತಿಯ	kraantiya
ಹುಟ್ಟಿನ	huttina
ಸ್ಥಳವಾಗಿದೆ:	sthalavaagide:
</s>	</s>
ಯಾಂತ್ರಿಕ	Yaantrika
ಎಂಜಿನಿಯರಿಂಗ್	Engineering
</s>	</s>
ಉತ್ಸಾಹದ	Utsaahada
ರೀತಿಯಲ್ಲಿ	reetiyalli
ಜನರು	janaru
ನಟಿಸುವಾಗ,	natisuvaaga,
ತಮಾಷೆಯ	tamaasheya
ರೀತಿಯಲ್ಲಿ	reetiyalli
ಉಪಯೋಗಿಸಲ್ಪಟ್ಟಿದೆ.	upayogisalpattide.
</s>	</s>
ಅದು	Adu
ಬುಲಯಾಯೂನಿಂದ	Bulawayoninda
ಸುಮಾರು	sumaaru
೩೫	35
ಕಿಲೋಮೀಟರ್	kilometer
ದೂರದಲ್ಲಿರುವ	dooradalliruva
ಒಂದು	ondu
ಬೆಟ್ಟ.	betta.
</s>	</s>
ಮನೋರೋಗ	Manoroga
ಚಿಕಿತ್ಸೆ:	chikitse:
ನರಗಳ	naragala
ಸಂಯೋಗ	sanyoga
ಅಥವಾ	athavaa
ವ್ಯೂಹಗಳು	vyoohagalu
ಜೀವಶಾಸ್ತ್ರಕ್ಕೆ	jeevashaastrakke
ಸಂಬಂಧಿಸಿದ	sanbandhisida
ಮನೋರೋಗ	manoroga
ಚಿಕಿತ್ಸೆಯಲ್ಲಿ	chikitseyalli
ಆಸಕ್ತ	aasakta
ನರಗ್ರಾಹಕಗಳಿಗೆ	naragraahakagalige
ಆಯ್ಕೆಯಿಂದ	aaykeyinda
ಬಂಧಿಸಲ್ಪಡುತ್ತವೆ,	bandhisalpaduttave,
ಅವು	avu
C-11	C-11
ಅಥವಾ	athavaa
F-18	F-18
ಜೊತೆ	jote
ರೇಡಿಯೋ	Radio
ಚಿಕಿತ್ಸೆ	chikitse
ನಡೆಸಲ್ಪಡುತ್ತವೆ.	nadesalpaduttave.
</s>	</s>
ಉದಾಹರಣೆಗಾಗಿ,	Udaaharanegaagi,
ಚೌಕ	chauka
ಸೂಜಿಯಂಥ	soojiyantha
ಕಂಬ	kanba
ಮತ್ತು	mattu
ಇತರ	itara
ಸ್ಮಾರಕಗಳು	smaarakagalu
ರೋಮ್‌ಗೆ	Romege
ಸಾಗಿಸಲ್ಪಟ್ಟಿದ್ದರಿಂದ	saagisalpattiddarinda
ಭಕ್ತಿ	bhakti
ಪಂಥದ	panthada
ದೇವತೆ	devate
ಐಸಿಸ್‌ಳ	Isisla
ಆರಾಧನೆಯು	aaraadhaneyu
ರೋಮನ್	Roman
ಸಾಮ್ರಾಜ್ಯದಲ್ಲಿ	saamraajyadalli
ಬಲುಪ್ರಸಿದ್ಧವಾಯಿತು‌.	baluprasiddhavaayituh.
</s>	</s>
ವಿದ್ಯುತ್	Vidyut
ಪ್ರವಾಹ	pravaaha
ಬಿಡುಗಡೆ	bidugade
ಸಮಯ,	samaya,
ಕಾರ್ಯನಿರ್ವಹಿಸುವ	kaaryanirvahisuva
ಸಮಯ,	samaya,
ಮತ್ತು	mattu
ಲೆಡ್	Lead
ಆಸಿಡ್	Acid
ಬ್ಯಾಟರಿಯ	Batteryya
ಸಾಮರ್ಥ್ಯಗಳ	saamarthyagala
ನಡುವಿನ	naduvina
ಸಂಬಂಧವು	sanbandhavu
(ಒಂದು	(ondu
ನಿರ್ದಿಷ್ಟ	nirdishta
ವ್ಯಾಪ್ತಿಯ	vyaaptiya
ವಿದ್ಯುತ್	vidyut
ಪ್ರವಾಹದ	pravaahada
ಮೌಲ್ಯಗಳ	maulyagala
ಮೇಲೆ)	mele)
ಪ್ಯೂಕರ್ಟ್‌ನ	Peukertna
ನಿಯಮದಿಂದ	niyamadinda
ಅಂದಾಜಿಸಲ್ಪಡುತ್ತದೆ:	andaajisalpaduttade:
</s>	</s>
ಅವಳ	Avala
ಕೆಲಸದ	kelasada
ಆಯ್ಕೆ	aayke
ಆನ್ಲೈನ್ನಲ್ಲಿ	Onlinenalli
ಕವನ	kavana
ಆರ್ಕೈವ್ನಲ್ಲಿ	Archivenalli
ಕೇಳಬಹುದು	kelabahudu
ಮತ್ತು	mattu
ಈ	ee
ಸೈಟ್ನಿಂದ	Siteninda
ಅಥವಾ	athavaa
ಕವಿತೆ	kavite
ಬುಕ್	Book
ಸೊಸೈಟಿಯಿಂದ	Societyinda
ಆನ್ಲೈನ್ನಲ್ಲಿ	Onlinenalli
ಸಿಡಿ	CD
ಖರೀದಿಸಬಹುದು.	khareedisabahudu.
</s>	</s>
ಭಾರತದ	Bhaaratada
ಅಂಡಮಾನ್	Andaman
ಮತ್ತು	mattu
ನಿಕೋಬಾರ್	Nicobar
ಗಳ	gala
ಪ್ರಮುಖ	pramukha
ವಾಯು	vaayu
ನಿಲ್ದಾಣವಾಗಿದೆ	nildaanavaagide
ಇದು.	idu.
</s>	</s>
ಗೇರುಬೀಜಗಳಿಂದ	Gerubeejagalinda
ದೊರೆಯುವ	doreyuva
ಫೀನಾಲುಗಳನ್ನೊಳಗೊಂಡ	pheenaalugalannolagonda
ಎಣ್ಣೆ.	enne.
</s>	</s>
ಇವರ	Ivara
ಸಿನಿಮಾ	sinimaa
ಗುರುಗಳು	gurugalu
-	-
ಪರಿಸರ	parisara
ಶಿವರಾಂ,	Shivaram,
ನಾಗತಿಹಳ್ಳಿ	Nagatihalli
ಚಂದ್ರಶೇಖರ.	Chandrashekhara.
</s>	</s>
ಗಿನಿಯಿಲಿಗಳ	Giniyiligala
ಮೂತ್ರವು	mootravu
ಪಂಜರದಲ್ಲಿ	panjaradalli
ಹರಳಿನಂತಾಗಿ	haralinamtaagi
ಅವನ್ನು	avannu
ಸ್ವಚ್ಛಮಾಡುವುದು	svachchamaaduvudu
ದುಸ್ತರವಾಗುತ್ತದೆ.	dustaravaaguttade.
</s>	</s>
ಇದನ್ನು	Idannu
ಮಕ್ಕಳು	makkalu
ಹೆಚ್ಚಿನ	hechchina
ಪ್ರಮಾಣದಲ್ಲಿ	pramaanadalli
(ಒಂದು	(ondu
ದಿನಕ್ಕೆ	dinakke
ಸುಮಾರು	sumaaru
5	5
ಬೀಜಗಳು)	beejagalu)
ಅಥವಾ	athavaa
ದೀರ್ಘ	deergha
ಕಾಲ	kaala
ಸೇವಿಸಿದರೆ,	sevisidare,
ಬೀಜದ	beejada
ಕಚ್ಚಾ	kachchaa
ಗ್ಯಾಮಿಟೊಫೈಟ್	Gamatophyte
(ತಿರುಳು)	(tirulu)
MPNನಿಂದ	MPNninda
(4-ಮೀಥಾಕ್ಸಿಪೈರಿಡಾಕ್ಸಿನ್)	(4-methoxypyridoxin)
ವಿಷದ	vishada
ಪರಿಣಾಮವನ್ನುಂಟುಮಾಡಬಹುದು.	parinaamavannuntumaadabahudu.
</s>	</s>
ಘಟನೆಗಳಲ್ಲಿ,	Ghatanegalalli,
ಕಥೆಯ	katheya
ವಿವಿಧ	vividha
ಹಂತಗಳಲ್ಲಿ,	hantagalalli,
ಗಾಂಭೀರ್ಯವನ್ನೂ,	gaanbheeryavannoo,
ಕಟಕಿಯನ್ನೂ	katakiyannoo
ಜಾಣ್ಮೆಯಿಂದ	jaanmeyinda
ಬೆರಸುತ್ತಾನೆ.	berasuttaane.
</s>	</s>
ಆದರೆ	Aadare
ಅವುಗಳನ್ನು	avugalannu
ಸಂಪೂರ್ಣವಾಗಿ	sanpoornavaagi
ಕಳ್ಳತನ	kallatana
ಮಾಡಲು	maadalu
ಬಳಸಿರುವುದಿಲ್ಲವಾದ್ದರಿಂದ,	balasiruvudillavaaddarinda,
ಅವುಗಳ	avugala
ಉಪಸ್ಥಿತಿಯನ್ನು	upasthitiyannu
ಅವುಗಳೇ	avugale
ಕೆಲವೊಮ್ಮೆ	kelavomme
ಬಿಟ್ಟುಕೊಡುತ್ತವೆ.	bittukoduttave.
</s>	</s>
ಇದನ್ನು	Idannu
ನಿಕ್	Nick
ಜೂ.	joo.
</s>	</s>
ಇಲ್ಲಿ	Illi
ಆರೋಗ್ಯವಂತಿಕೆ	aarogyavantike
ಎಂದರೆ	endare
ಅದು	adu
ಕೇವಲ	kevala
ಮನುಷ್ಯನಿಗೆ	manushyanige
ಮಾತ್ರ	maatra
ಸೀಮಿತವಾಗುವುದಿಲ್ಲ.	seemitavaaguvudilla.
</s>	</s>
ಮೂರು	Mooru
ವಿಷಯಗಳಲ್ಲೂ	vishayagalalloo
ಅವರ	avara
ವಿದ್ವತ್ತು	vidvattu
ಅದ್ವಿತೀಯವಾಗಿತ್ತು.	adviteeyavaagittu.
</s>	</s>
ಪೌರಾಣಿಕ	Pauraanika
ವ್ಯಕ್ತಿಗಳು,	vyaktigalu,
ಸಾಮಾಜಿಕ,	saamaajika,
ಹೆಣ್ಣು,	hennu,
ಹೂ,	hoo,
ಪ್ರಾಣಿಗಳು	praanigalu
ಮುಂತಾದ	muntaada
ಚಿತ್ರಗಳನ್ನು	chitragalannu
ಚಿತ್ರಿಸಲಾಗಿರುತ್ತಿತ್ತು.	chitrisalaagiruttittu.
</s>	</s>
ಯಮಸದೃಶ	Yamasadrusha
ಮತಾಂತರಿ	mataantari
ಟಿಪ್ಪುವಿನ	Tippuvina
ದೌರ್ಜನ್ಯಗಳ	daurjanyagala
ಮಾಹಿತಿಗಳು	maahitigalu
ನಮಗೆ	namage
ಸಿಕ್ಕುವುದು	sikkuvudu
ಆ	aa
ಕಾಲದಲ್ಲಿ	kaaladalli
ಮೈಸೂರು	Mysore
ರಾಜ್ಯಕ್ಕೆ	raajyakke
ಭೇಟಿ	bheti
ಕೊಟ್ಟ	kotta
ಪರದೇಶ	paradesha
ಗಳ	gala
ಇತಿಹಾಸ	itihaasa
ತಜ್ಞರಿಂದ.	tajnarinda.
</s>	</s>
ಈ	Ee
ವಿಷಯಗಳು	vishayagalu
ವೈವಿಧ್ಯಮಯವಾಗಿವೆ.	vaividhyamayavaagive.
</s>	</s>
ಡಿ’	D'
ಪದವಿಯನ್ನು	padaviyannu
ಸಂಪಾದಿಸಿದರು.	sanpaadisidaru.
</s>	</s>
ಕೇವಲ	Kevala
ಜರ್ಮನಿ	Germani
ಮತ್ತು	mattu
ಫ್ರಾನ್ಸ್ಗಳ	Francegala
ನಡುವೆ	naduve
ಒಡಂಬಡಿಕೆ	odanbadike
ಏರ್ಪಡಿಸಿಕೊಳ್ಳುವುದರ	erpadisikolluvudara
ಬದಲು,	badalu,
ಪಶ್ಚಿಮ	pashchima
ಯುರೋಪಿನಲ್ಲಿರುವ	Europeinalliruva
ಇನ್ನೂ	innoo
ಕೆಲವು	kelavu
ರಾಷ್ಟ್ರಗಳೊಡನೆಯೂ	raashtragalodaneyoo
ಒಡಂಬಡಿಕೆ	odanbadike
ಏರ್ಪಡಿಸಿಕೊಳ್ಳುವುದು	erpadisikolluvudu
ಒಳ್ಳೆಯದು	olleyadu
ಎಂಬುದನ್ನು	embudannu
ಮನಗಂಡು	managamdu
ಷೂಮನ್	Schumann
ಇತರ	itara
ರಾಷ್ಟ್ರಗಳೊಡನೆ	raashtragalodane
ಮಾತುಕತೆ	maatukate
ಪ್ರಾರಂಭಿಸಿದ.	praaranbhisida.
</s>	</s>
ಪಳಗಿಸಲಾದ	Palagisalaada
ಗಿನಿಯಿಲಿಗಳು	giniyiligalu
ಎರಡು	eradu
ಅಥವಾ	athavaa
ಹೆಚ್ಚಿನ	hechchina
ಸಂಖ್ಯೆಯಿರುವ	sankhyeyiruva
ಗುಂಪುಗಳಲ್ಲಿ	gunpugalalli
ವಾಸಿಸುತ್ತವೆ;	vaasisuttave;
ಬರೀ	baree
ಹೆಣ್ಣು	hennu
ಗಿನಿಯಿಲಿಗಳ	giniyiligala
ಗುಂಪುಗಳು,	gunpugalu,
ಅಥವಾ	athavaa
ಒಂದೆರಡು	onderadu
ಹೆಣ್ಣು	hennu
ಗಿನಿಯಿಲಿಗಳು	giniyiligalu
ಹಾಗೂ	haagoo
ಹಿಡಮಾಡಲಾದ	hidamaadalaada
ಒಂದು	ondu
ಗಿನಿಯಿಲಿಯ	giniyiliya
ಗುಂಪೂ	gunpoo
ಸಹ	saha
ಇರುತ್ತವೆ.	iruttave.
</s>	</s>
ದೇಶದಲ್ಲಿನ	Deshadallina
ಆಹಾರ	aahaara
ಉತ್ಪಾದನೆಯ	utpaadaneya
ಪ್ರಮಾಣದಂತೆ,	pramaanadante,
ಅಂದರೆ	andare
2000ರಲ್ಲಿ	2000ralli
ಹಸಿರುಮನೆಗಳು	hasirumanegalu
10,526	10,526
ಹೆಕ್ಟೇರುಗಳ	Hectaregala
ಅಥವಾ	athavaa
ನೆದರ್ಲ್ಯಾಂಡ್ಸ್‌ನ	Netherlandsna
ಪೂರ್ಣ	poorna
ವಿಸ್ತೀರ್ಣದ	visteernada
0.25%	0.25%
ವಿಸ್ತೀರ್ಣದಲ್ಲಿ	visteernadalli
ವ್ಯಾಪಿಸಿದ್ದವು.	vyaapisiddavu.
</s>	</s>
ತಿಳಿಯಬಹುದಾದ	Tiliyabahudaada
ವಸ್ತುವಿರಲಾರದು.	vastuviralaaradu.
</s>	</s>
ರೋಗಿಗಳ	Rogigala
ಗಂಜಿಗೂ	ganjigoo
ಇನ್ನಿತರ	innitara
ಅಡಿಗೆ	adige
ಪದಾರ್ಥಗಳ	padaarthagala
ತಯಾರಿಕೆಯಲ್ಲೂ	tayaarikeyalloo
ಇದನ್ನು	idannu
ಬಳಸುವರು.	balasuvaru.
</s>	</s>
ಆದರೆ,	Aadare,
ಏಳೆಂಟು	elentu
ವರ್ಷದ	varshada
ಹುಡುಗನೊಬ್ಬನನ್ನು	huduganobbanannu
ಆಯ್ಕೆ	aayke
ಮಾಡಿ	maadi
ಅಮ್ಮನ	ammana
ದೇವಸ್ಥಾನಕ್ಕೆ	devasthaanakke
ಕರೆತಂದು,	karetandu,
ತಲೆಯ	taleya
ಕೂದಲು	koodalu
ತೆಗೆಸಿ,	tegesi,
ಸ್ನಾನ	snaana
ಮಾಡಿಸಿ,	maadisi,
ಹೊಸ	hosa
ಬಟ್ಟೆ	batte
ಹಾಕಿ	haaki
ಕಂಬಳಿ	kanbali
ಗದ್ದುಗೆ	gadduge
ಮೇಲೆ	mele
ಕೂರಿಸಲಾಗುತ್ತದೆ.	koorisalaaguttade.
</s>	</s>
ಕಿವುಡಿನಿಂದ	Kivudininda
ತೊಂದರೆಪಡುವುದು	tomdarepaduvudu
ಗೊತ್ತಾಗಿದೆ.1971ನೆಯ	gottaagide.1971neya
ಸಾಲಿನ	saalina
ಜನಗಣತಿಯಿಂದ	janaganatiyinda
ಭಾರತದ	bhaaratada
ಜನರಲ್ಲಿ	janaralli
ಎಪ್ಟು	eshtu
ಕಿವುಡತನವೆದೆಯೆಂದು	kivudatanavedeyendu
ತಿಳಿಯಲು	tiliyalu
ಸಾಧ್ಯವಾಗಿದೆ.	saadhyavaagide.
</s>	</s>
ಕ್ಯಾಂಪ್ಬೆಲ್	Campbell
ಅವರೂ;	avaroo;
ದಕ್ಷಿಣ	dakshina
ಕನ್ನಡ	kannada
ಜಿಲ್ಲೆಯ	jilleya
ಮ್ಯಾನ್ಯುಯಲ್‍ನ	Manualna
ಮೊದಲ	modala
ಸಂಪುಟವನ್ನು	sanputavannu
1894ರಲ್ಲಿ	1894ralli
ಜಾನ್	John
ಸ್ಟರ್ರಕ್	Sterclock
ಹಾಗೂ	haagoo
ಎರಡನೆಯ	eradaneya
ಸಂಪುಟವನ್ನು	sanputavannu
1895ರಲ್ಲಿ	1895ralli
ಹೆರಾಲ್ಡ್‌	Herald
