Kannada-Word,Part-of-Speech
ಪದವೀಧರ,N__NN
ಶಿಕ್ಷಕರನ್ನು,N__NN
ಶಾಲಾ,JJ
ಶಿಕ್ಷಣಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
1314,QT__QTC
ತಜ್ಞ,JJ
ಶಿಕ್ಷಕರು,N__NN
-,RD__SYM
ಅದರಲ್ಲಿ,PR__PRP
853,QT__QTC
ದೈಹಿಕ,JJ
ಶಿಕ್ಷಣ,N__NN
ಶಿಕ್ಷಕರು,N__NN
",",RD__PUNC
231,QT__QTC
ಚಿತ್ರಕಲಾ,JJ
ಶಿಕ್ಷಕರು,N__NN
",",RD__PUNC
135,QT__QTC
ಹೊಲಿಗೆ,JJ
ಶಿಕ್ಷಕರು,N__NN
ಮತ್ತು,CC__CCD
95,QT__QTC
ಸಂಗೀತ,N__NN
ಶಿಕ್ಷಕರನ್ನು,N__NN
-,RD__SYM
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಶಿಕ್ಷಕರ,N__NNP
ಶಿಕ್ಷಣ,N__NNP
ಸಂಶೋಧನೆ,N__NNP
ಮತ್ತು,N__NNP
ತರಬೇತಿ,N__NNP
ನಿರ್ದೇಶನಾಲಯದ,N__NNP
ನಿಯಂತ್ರಣದಲ್ಲಿ,N__NN
ಇರುವ,V__VM__VNG
ಜಿಲ್ಲಾ,N__NNP
ಶಿಕ್ಷಕರ,N__NNP
ತರಬೇತಿ,N__NNP
ಸಂಸ್ಥೆಗೆ,N__NNP
29,QT__QTC
ಕಿರಿಯ,JJ
ಉಪನ್ಯಾಸಕರನ್ನು,N__NN
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಸ್ಪರ್ಧಾತ್ಮಕ,JJ
ಪರೀಕ್ಷೆಗಳ,N__NN
ಮೂಲಕ,RP__RPD
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಎಲ್ಲರಿಗೂ,N__NN
ಶಿಕ್ಷಣ,N__NN
ಯೋಜನೆಯ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
1064,QT__QTC
ಪ್ರಾದೇಶಿಕ,JJ
ಸಂಪನ್ಮೂಲ,N__NN
ಕೇಂದ್ರ,JJ
ಶಿಕ್ಷಕ,N__NN
ತರಬೇತುದಾರರನ್ನು,N__NN
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಸರ್ಕಾರಿ,JJ
ಇಂಜಿನಿಯರಿಂಗ್,N__NN
ಕಾಲೇಜುಗಳಿಗೆ,N__NN
61,QT__QTC
ಉಪನ್ಯಾಸಕರನ್ನು,N__NN
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಸರ್ಕಾರಿ,JJ
ತಾಂತ್ರಿಕ,JJ
ಶಿಕ್ಷಣಕ್ಕೆ,N__NN
51,QT__QTC
ಉಪನ್ಯಾಸಕರನ್ನು,N__NN
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಸರ್ಕಾರಿ,JJ
ಕಾನೂನು,N__NN
ಕಾಲೇಜುಗಳಿಗೆ,N__NN
28,QT__QTC
ಉಪನ್ಯಾಸಕರು,N__NN
Lecturer,RD__RDF
(,RD__SYM
Senior,RD__RDF
scale,RD__RDF
),RD__SYM
ಮತ್ತು,CC__CCD
ಉಪನ್ಯಾಸಕರನ್ನು,N__NN
(,RD__SYM
Senior,RD__RDF
scale,RD__RDF
-,RD__SYM
Pre,RD__RDF
Law,RD__RDF
),RD__SYM
ಆಯ್ಕೆ,N__NNV
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಜಾಲತಾಣ,N__NN
.,RD__PUNC
ಶಿಕ್ಷಕರ,N__NN
ಆಯ್ಕೆ,JJ
ಮಂಡಳಿಯು,N__NN
",",RD__PUNC
ಜಾಲತಾಣದ,N__NN
ಮೂಲಕ,RP__RPD
ಹುದ್ದೆಯ,N__NN
ವಿವರಗಳು,N__NN
",",RD__PUNC
ಪರೀಕ್ಷಾ,JJ
ವೇಳಾ,JJ
ಪಟ್ಟಿಗಳು,N__NN
",",RD__PUNC
ಅಭ್ಯರ್ಥಿಗಳು,N__NN
ಲಿಖಿತ,JJ
ಪರೀಕ್ಷೆಯಲ್ಲಿ,N__NN
ಪಡೆದ,V__VM__VNG
ಅಂಕಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಪ್ರಮಾಣೀಕರಣ,N__NN
ಪರಿಶೀಲನೆಯಲ್ಲಿ,N__NN
ಪಡೆದ,V__VM__VNG
ಅಂಕಗಳು,N__NN
",",RD__PUNC
ಉದ್ಯೋಗ,N__NN
ಪುಟದಲ್ಲಿ,N__NN
2ನೇ,QT__QTO
ಕಟ್ಆಫ್,N__NN
ದಿನಾಂಕ,N__NN
",",RD__PUNC
ಪರಿಶೀಲನೆ,N__NN
ಮತ್ತು,CC__CCD
ಅಂತಿಮ,JJ
ಜೇಷ್ಠತೆಯ,N__NN
ಆಯ್ಕೆ,N__NNV
ಪಟ್ಟಿಯನ್ನು,N__NN
ಸಾರ್ವಜನಿಕರಿಗೆ,N__NN
ತಿಳಿಯುವಂತೆ,V__VM__VNF
ಪ್ರಕಟಿಸುತ್ತಿದೆ,V__VM__VF
",",RD__PUNC
ಹಾಗೂ,CC__CCS
ಈ,DM__DMD
ಮಂಡಳಿಯ,N__NN
ಎಲ್ಲಾ,JJ
ನೇಮಕಾತಿಗಳನ್ನು,N__NN
ಪಾರದರ್ಶಕವಾಗಿ,RB
ಮಾಡಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ಜಾಲತಾಣದ,N__NN
ವಿಳಾಸ,N__NN
http:\\trb.tn.nic.in,N__NNP
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮ,N__NNP
.,RD__PUNC
ಗುಣಮಟ್ಟದ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಅಗತ್ಯ,N__NN
ಇರುವ,V__VM__VNG
ಎಲ್ಲರಿಗೂ,N__NN
ಸರಿಯಾದ,JJ
ಸಮಯದಲ್ಲಿ,N__NN
ಸುಲಭವಾಗಿ,RB
ಲಭ್ಯ,N__NN
ಆಗುವಂತೆ,V__VM__VNF
ಮಾಡುವುದು,V__VM__VNG
ಈ,DM__DMD
ನಿಗಮದ,N__NN
ಉದ್ದೇಶ,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ರಾಜ್ಯ,JJ
ಪಠ್ಯಕ್ರಮದ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
1ರಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
ಓದುತ್ತ,V__VM__VNF
ಇರುವ,V__VAUX
ವಿದ್ಯಾರ್ಥಿ,N__NN
",",RD__PUNC
ವಿದ್ಯಾರ್ಥಿನಿಯರಿಗೆ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳ,N__NN
ಲಭ್ಯತೆಯನ್ನು,N__NN
ಖಚಿತಪಡಿಸುವುದು,V__VM__VNG
ಮತ್ತು,CC__CCD
ಆದಿದ್ರಾವಿಡ,N__NNP
",",RD__PUNC
ಹಿಂದುಳಿದ,JJ
",",RD__PUNC
ಅತ್ಯಂತ,RP__INTF
ಹಿಂದುಳಿದ,JJ
",",RD__PUNC
ಪರಿಶಿಷ್ಟ,JJ
ಪಂಗಡಗಳಿಗೆ,N__NN
ಉಚಿತ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಒದಗಿಸುವುದು,V__VM__VNG
ಈ,DM__DMD
ನಿಗಮದ,N__NN
ಉದ್ದೇಶ,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಸಮತೋಲಿತ,JJ
ಶಿಕ್ಷಣ,N__NN
ಯೋಜನೆಯ,N__NN
ಪರಿಚಯದ,N__NN
ಕಾರಣದಿಂದ,N__NN
ಆಗಿ,RP__RPD
",",RD__PUNC
ಯೋಜನೆಯ,N__NN
ಅಡಿ,RP__RPD
1,QT__QTC
ಮತ್ತು,CC__CCD
6ನೇ,QT__QTO
ತರಗತಿಗಳಿಗೆ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಮುದ್ರಿಸುವ,V__VM__VNG
ಜವಾಬ್ದಾರಿಯನ್ನು,N__NN
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮಕ್ಕೆ,N__NNP
ಹಸ್ತಾಂತರಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಸಮತೋಲಿತ,JJ
ಶಿಕ್ಷಣದ,N__NN
ಉದ್ದೇಶವನ್ನು,N__NN
ಪೂರೈಸಲು,V__VM__VINF
1ನೇ,QT__QTO
ಮತ್ತು,CC__CCD
6ನೇ,QT__QTO
ತರಗತಿಗಳಿಗೆ,N__NN
ಅಗತ್ಯ,N__NN
ಇರುವ,V__VM__VNG
ಗುಣಮಟ್ಟದ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಬಹು,JJ
ವರ್ಣದಲ್ಲಿ,N__NN
ಆಧುನಿಕ,JJ
ಮುದ್ರಣ,N__NN
ತಂತ್ರಜ್ಞಾನದೊಂದಿಗೆ,N__NN
(,RD__SYM
CTP,RD__RDF
ಮೂಲಕ,RP__RPD
),RD__SYM
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮವು,N__NNP
ಮುದ್ರಿಸಿ,V__VM__VNF
ಒದಗಿಸುತ್ತದೆ,V__VM__VF
.,RD__PUNC
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳ,N__NN
ವಿವರಗಳು,N__NN
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮ,N__NNP
1ರಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
513,QT__QTC
ವಿಷಯಗಳಲ್ಲಿ,N__NN
540,QT__QTC
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
(,RD__SYM
ಸಂಪುಟ,N__NN
-,RD__SYM
I,QT__QTC
ಮತ್ತು,CC__CCD
II,QT__QTC
ಸೇರಿದಂತೆ,V__VM__VNF
),RD__SYM
ಮುದ್ರಿಸಿದೆ,V__VM__VF
.,RD__PUNC
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
ಮತ್ತು,CC__CCD
ವೃತ್ತಿ,N__NN
ಶಿಕ್ಷಣಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಬೋಧನಾ,JJ
ಪ್ರಮಾಣ,N__NN
ಪತ್ರ,N__NN
ತರಬೇತಿಗೆ,N__NN
ಆಗಿ,RP__RPD
ಸಂಪನ್ಮೂಲ,N__NN
ಪುಸ್ತಕಗಳನ್ನು,N__NN
",",RD__PUNC
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮದಿಂದ,N__NNP
ಮುದ್ರಿಸಿ,V__VM__VNF
ಒದಗಿಸಲು,V__VM__VINF
ಆಗುತ್ತ,V__VAUX
ಇದ್ದು,V__VAUX
ವಿವರಗಳು,N__NN
ಈ,DM__DMD
ರೀತಿ,N__NN
ಇವೆ,V__VM__VF
:-,RD__PUNC
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಸಮತೋಲಿತ,JJ
ಶಿಕ್ಷಣ,N__NN
ಯೋಜನೆಯ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
2010,QT__QTC
-,RD__SYM
11ನೇ,QT__QTO
ಶೈಕ್ಷಣಿಕ,JJ
ವರ್ಷಕ್ಕೆ,N__NN
1ನೇ,QT__QTO
ಮತ್ತು,CC__CCD
6ನೇ,QT__QTO
ತರಗತಿಗಳಿಗೆ,N__NN
ಮಾರ್ಪಡಿಸಿದ,V__VM__VNG
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಉನ್ನತ,JJ
ಮೊದಲನೇ,QT__QTO
ಮತ್ತು,CC__CCD
ಎರಡನೇ,QT__QTO
ವರ್ಷದ,N__NN
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ವೃತ್ತಿಪರ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
6ನೇ,QT__QTO
ತರಗತಿಯಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
ಕಲಿಯುವ,V__VM__VNG
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಪರಿಸರ,N__NN
ಶಿಕ್ಷಣ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಸರ್ಕಾರಿ,JJ
ಬಹು,JJ
-,RD__SYM
ಕೈಗಾರಿಕಾ,N__NN
ತಾಂತ್ರಿಕ,JJ
ಕಾಲೇಜುಗಳಲ್ಲಿ,N__NN
",",RD__PUNC
ಮೊದಲನೇ,QT__QTO
ಮತ್ತು,CC__CCD
ಎರಡನೇ,QT__QTO
ಸೆಮಿಸ್ಟರ್,N__NN
ಪದವಿ,N__NN
ಶಿಕ್ಷಣಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಅಲ್ಪಸಂಖ್ಯಾತ,N__NN
ಭಾಷೆಗಳನ್ನು,N__NN
ಕಲಿಯುವ,V__VM__VNG
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
10ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
ಭಾಷೆ,N__NN
ಮತ್ತು,CC__CCD
ಮಾರ್ಗದರ್ಶಿ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
",",RD__PUNC
ಉನ್ನತ,JJ
ಮೊದಲನೇ,QT__QTO
ಮತ್ತು,CC__CCD
ಎರಡನೇ,QT__QTO
ವರ್ಷದ,N__NN
ಶಾಲಾ,JJ
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಅಲ್ಪಸಂಖ್ಯಾತ,JJ
ಭಾಷಾ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಬೋಧನಾ,JJ
ಪ್ರಮಾಣ,N__NN
ಪತ್ರ,N__NN
ತರಬೇತಿಯ,N__NN
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಸಂಪನ್ಮೂಲ,JJ
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಆದಿದ್ರಾವಿಡರ,N__NNP
ಕಲ್ಯಾಣ,JJ
ಇಲಾಖೆ,N__NN
",",RD__PUNC
ಹಿಂದುಳಿದ,JJ
ಮತ್ತು,CC__CCD
ಅತ್ಯಂತ,RP__INTF
ಹಿಂದುಳಿದ,JJ
ಕಲ್ಯಾಣ,JJ
ಇಲಾಖೆಗಳ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
ಕಾರ್ಯ,N__NN
ನಿರ್ವಹಿಸುವ,V__VM__VNG
ಶಾಲೆಗಳ,N__NN
10,QT__QTC
ಮತ್ತು,CC__CCD
12ನೇ,QT__QTO
ತರಗತಿಯ,N__NN
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ವಿಶೇಷ,JJ
ಮಾರ್ಗದರ್ಶಿ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಪೋಷಕ,N__NN
ಶಿಕ್ಷಕರ,N__NN
ಸಂಘಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
10,QT__QTC
ಮತ್ತು,CC__CCD
12ನೇ,QT__QTO
ತರಗತಿಗೆ,N__NN
ಪ್ರಶ್ನಾವಳಿ,N__NN
",",RD__PUNC
ಮಾದರಿ,JJ
ಪ್ರಶ್ನಾವಳಿ,N__NN
ಮತ್ತು,CC__CCD
ಪರಿಹಾರ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಉಚಿತ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕ,N__NN
ವಿತರಣೆ,N__NNV
.,RD__PUNC
ಸರ್ಕಾರಿ,JJ
ಶಾಲೆಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಸರ್ಕಾರಿ,JJ
ಅನುದಾನಿತ,JJ
ಶಾಲೆಗಳಲ್ಲಿ,N__NN
",",RD__PUNC
1ರಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
ಕಲಿಯುವ,V__VM__VNG
ಎಲ್ಲಾ,JJ
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
",",RD__PUNC
ಸ್ವ,JJ
-,RD__SYM
ಹಣಕಾಸು,N__NN
ಶಾಲೆಗಳಲ್ಲಿ,N__NN
",",RD__PUNC
ತಮಿಳು,N__NNP
ಮಾಧ್ಯಮದಲ್ಲಿ,N__NN
ಕಲಿಯುವ,V__VM__VNG
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಉಚಿತ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ವಿತರಣೆ,N__NNV
ಮಾಡಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ಅಲ್ಲದೆ,CC__CCS
",",RD__PUNC
ಮೆಟ್ರಿಕ್ಯುಲೇಷನ್,N__NN
ಶಾಲೆಗಳಲ್ಲಿ,N__NN
1ರಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಯವರೆಗೆ,N__NN
ಕಲಿಯುವ,V__VM__VNG
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ತಮಿಳು,N__NNP
ಪಠ್ಯಗಳನ್ನು,N__NN
ಮಾತ್ರ,RP__RPD
2007,QT__QTC
-,RD__SYM
2008,QT__QTC
ಶೈಕ್ಷಣಿಕ,JJ
ವರ್ಷದಿಂದ,N__NN
ಉಚಿತವಾಗಿ,RB
ಒದಗಿಸಲು,V__VM__VF
ಆಗುತ್ತಿದೆ,V__VAUX
.,RD__PUNC
ಇತರ,JJ
ಇಲಾಖೆಗಳಿಗೆ,N__NN
ಉಚಿತ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
.,RD__PUNC
ಆದಿದ್ರಾವಿಡರ,N__NNP
ಕಲ್ಯಾಣ,JJ
ಇಲಾಖೆ,N__NN
",",RD__PUNC
ಹಿಂದುಳಿದ,JJ
",",RD__PUNC
ಅತ್ಯಂತ,RP__INTF
ಹಿಂದುಳಿದ,JJ
ಮತ್ತು,CC__CCD
ಕಮ್ಮಾರರ,N__NN
ಕಲ್ಯಾಣ,JJ
ಇಲಾಖೆ,N__NN
",",RD__PUNC
ಸಮಾಜ,N__NN
ಕಲ್ಯಾಣ,JJ
ಇಲಾಖೆ,N__NN
ಮತ್ತು,CC__CCD
ಅರಣ್ಯ,N__NN
ಇಲಾಖೆಯಿಂದ,N__NN
ನಡೆಸಲು,V__VM__VINF
ಆಗುವ,V__
ಶಾಲೆಗಳಲ್ಲಿ,N__NN
ಕಲಿಯುತ್ತ,V__VM__VNF
ಇರುವ,V__
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮದಿಂದ,N__NNP
ಉಚಿತವಾಗಿ,RB
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಮುದ್ರಿಸಿ,V__VM__VNF
ಈ,DM__DMD
ನಿಗಮದ,N__NN
ಪ್ರಾದೇಶಿಕ,JJ
ಕಚೇರಿಗಳಿಂದ,N__NN
ನೇರವಾಗಿ,RB
ಆಯಾ,JJ
ಇಲಾಖೆಗಳಿಗೆ,N__NN
ಒದಗಿಸಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__
.,RD__PUNC
ಬೇರೆ,JJ
ರಾಜ್ಯಗಳಲ್ಲಿ,N__NN
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ಕಲಿಯುವ,V__VM__VNG
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ,N__NN
ಉಚಿತವಾಗಿ,RB
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ನೀಡಲು,V__VM__VF
ಆಗುವುದು,V__
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮ,N__NNP
",",RD__PUNC
ಮುಂಬೈ,N__NNP
ಮಹಾನಗರ,N__NN
ಪಾಲಿಕೆ,N__NN
",",RD__PUNC
ದೆಹಲಿ,N__NNP
ತಮಿಳು,N__NNP
ಸಂಘ,N__NNP
",",RD__PUNC
ಅಹಮದಾಬಾದ್,N__NNP
ಮಹಾನಗರ,N__NN
ಪಾಲಿಕೆ,N__NN
",",RD__PUNC
ಅಂಡಮಾನ್,N__NNP
ನಿಕೋಬಾರ್,N__NNP
ತಮಿಳು,N__NNP
ಸಂಯುಕ್ತ,N__NNP
ಸಂಘ,N__NNP
",",RD__PUNC
ಕೊಚ್ಚಿನ್‌,N__NNP
ಅಂತಹ,PSP
ಇತರ,JJ
ರಾಜ್ಯಗಳಲ್ಲಿ,N__NN
ತಮಿಳು,N__NNP
ವಿದ್ಯಾರ್ಥಿಗಳ,N__NN
ಕಲ್ಯಾಣಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
ವಾರ್ಷಿಕವಾಗಿ,RB
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಉಚಿತವಾಗಿ,RB
ಒದಗಿಸುತ್ತಿದೆ,V__VM__VF
.,RD__PUNC
ಜಾಲತಾಣ,N__NN
.,RD__PUNC
ಭಾರತದಲ್ಲಿ,N__NNP
1ರಿಂದ,N__NN
12ನೇ,QT__QTO
ತರಗತಿಗಳಿಗೆ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಜಾಲತಾಣದಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸುವ,V__VM__VNG
ಒಂದೇ,JJ
ರಾಜ್ಯ,N__NN
ಆಗಿ,RP__RPD
ತಮಿಳುನಾಡು,N__NNP
ಹೊರಹೊಮ್ಮಿದೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಪಠ್ಯ,N__NNP
ಪುಸ್ತಕ,N__NNP
ನಿಗಮವು,N__NNP
",",RD__PUNC
ತಮಿಳು,N__NNP
",",RD__PUNC
ಆಂಗ್ಲ,N__NNP
ಭಾಷೆ,N__NN
ಮತ್ತು,CC__CCD
ಅಲ್ಪಸಂಖ್ಯಾತ,JJ
ಭಾಷೆಗಳು,N__NN
ಆದ,RP__RPD
ತೆಲುಗು,N__NNP
",",RD__PUNC
ಮಲಯಾಳಂ,N__NNP
",",RD__PUNC
ಕನ್ನಡ,N__NNP
ಮತ್ತು,CC__CCD
ಉರ್ದು,N__NNP
ಸೇರಿದಂತೆ,V__VM__VNF
6,QT__QTC
ಭಾಷೆಗಳಲ್ಲಿ,N__NN
540,QT__QTC
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಪ್ರಕಟಿಸಿದೆ,V__VM__VF
.,RD__PUNC
ಆರಂಭಿಕ,JJ
ದಿನದಂದು,N__NN
348,QT__QTC
ಪಠ್ಯಗಳನ್ನು,N__NN
ಜಾಲತಾಣದಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VF
ಆಯಿತು,V__
.,RD__PUNC
ಬೋಧನಾ,JJ
ಪ್ರಮಾಣ,N__NN
ಪತ್ರ,N__NN
ತರಬೇತಿಗೆ,N__NN
ಆಗಿ,RP__RPD
ಸಂಪನ್ಮೂಲ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳು,N__NN
ಮತ್ತು,CC__CCD
10ನೇ,QT__QTO
ತರಗತಿಯ,N__NN
ಮೆಟ್ರಿಕ್ಯುಲೇಷನ್,N__NN
ಶಾಲೆಯ,N__NN
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳು,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
ಒಟ್ಟು,JJ
21,QT__QTC
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
08-09-2008ರಂದು,N__NNP
ಜಾಲತಾಣಗಳಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VF
ಆಯಿತು,V__
.,RD__PUNC
ಜೊತೆಗೆ,CC__CCS
ಎರಡನೇ,QT__QTO
ವರ್ಷದ,N__NN
ಶಿಕ್ಷಕರ,N__NN
ಪದವಿ,N__NN
ತರಬೇತಿಗೆ,N__NN
ಆಗಿ,RP__RPD
11,QT__QTC
ಸಂಪನ್ಮೂಲ,JJ
ಪಠ್ಯ,N__NN
ಪುಸ್ತಕಗಳನ್ನು,N__NN
24-8-2009ರಂದು,N__NNP
ಜಾಲತಾಣಗಳಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VF
ಆಯಿತು,V__
.,RD__PUNC
ಉಳಿದ,V__VM__VNG
ಪಠ್ಯ,JJ
ಪುಸ್ತಕಗಳನ್ನು,N__NN
ಹಂತಹಂತವಾಗಿ,RB
ಜಾಲತಾಣಗಳಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VINF
ಯೋಜಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__
.,RD__PUNC
ಜಾಲತಾಣದ,N__NN
ಪ್ರಾರಂಭದ,N__NN
ದಿನದಿಂದ,N__NN
ವಿದ್ಯಾರ್ಥಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಪೋಷಕರಿಂದ,N__NN
ಉತ್ತಮ,JJ
ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು,N__NN
ಪಡೆದು,V__VM__VF
ಕೊಂಡಿದೆ,V__
.,RD__PUNC
31-1-2010,N__NNP
ದಿನಾಂಕದಂದು,N__NN
ಈ,DM__DMD
ಜಾಲತಾಣವು,N__NN
"8,33,790",QT__QTC
ಪ್ರೇಕ್ಷಕರನ್ನು,N__NN
ಒಳಗೊಂಡಿದೆ,V__VM__VF
.,RD__PUNC
ಇದರಲ್ಲಿ,DM__DMD
